idx,label,singer,model,url,SingFake_Set,Language,Singer,Title,Bonafide Or Deepfake,Platform,Model,downloaded_raw,demucs_ready,in_features,feature_clip_count
wild_0028,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Qc41137Hs/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《樱花树下》cover.张敬轩 高考结束快乐,deepfake,,Sovits4.0,False,False,False,0
wild_0029,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1j24y1K7Fu/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《七友（改）》cover.梁汉文 原来无照顾到你的感受 恨意昏头 引诱我出口,deepfake,,Sovits4.0,True,True,True,3
wild_0030,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1eP41197MC/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《隐形游乐场》cover.张敬轩 想得到烟花 马上有烟花你未看到吗,deepfake,,Sovits4.0,True,True,True,3
wild_0031,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1E24y1P7MJ/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《说好的幸福呢》cover.周杰伦 怎么了 你累了 说好的 幸福呢我懂了 不说了 爱淡了 梦远了,deepfake,,Sovits4.0,False,False,False,0
wild_0032,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV19z4y1t7Ws/?spm_id_from=pageDriver&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《面具》（天后粤语版）谁明白像和你 也许重逢遗憾太多却不能倒流的钟,deepfake,,Sovits4.0,False,False,False,0
wild_0033,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1QM4y1v7zL/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《东京人寿》cover.容祖儿 明年保了寿命 谁说一定有伴侣与东京明年即使有热血 初樱初雪又如何约定,deepfake,,Sovits4.0,False,False,False,0
wild_0034,real,Eason_Chan,,https://www.bilibili.com/video/BV1CT411E793/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《阿牛》《与我常在》神级现场！祝生日快乐！,bonafide,,,True,True,True,3
wild_0035,real,Eason_Chan,,https://www.bilibili.com/video/BV1eU4y1p77j/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【百万纪念】陈奕迅《落花流水》神级现场！落花有意，流水无情~,bonafide,,,True,True,True,3
wild_0036,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1zk4y1p7wU/?spm_id_from=333.337.search-card.all.click&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《勇》cover.杨千嬅,deepfake,,Sovits4.0,True,True,True,3
wild_0037,real,Eason_Chan,,https://www.bilibili.com/video/BV1Rf4y1u7yc/?spm_id_from=333.788&vd_source=6773a02315422cd9e9d1490e5baec619,T02,Cantonese,Eason_Chan,【4K60FPS】陈奕迅《不来也不去》神级现场！像我没来过没去过~,bonafide,,,True,True,True,3
wild_0038,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1rX4y1179k/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《爱得太迟》 cover.古巨基 纵不信运 你不过是人理想很远 爱於咫尺却在等,deepfake,,Sovits4.0,True,True,True,3
wild_0039,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1wo4y1g7xc/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《遇见》cover.孙燕姿 我遇见你是最美丽的意外,deepfake,,Sovits4.0,False,False,False,0
wild_0040,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Ys4y1Q7VK/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《我不如》cover.曾比特 你不如养一只狗便宜地令你满足比我可爱的密友,deepfake,,Sovits4.0,False,False,False,0
wild_0041,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1PT41187KN/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Cantonese,Eason_Chan,【AI陈奕迅】《谁知我这种男孩子》（《野孩子》改）明日我绝不敢多放肆,deepfake,,Sovits4.0,True,True,True,3
wild_0042,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1qP411e7ac/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《凄美地》cover.郭顶 等我找到你试探你眼睛,deepfake,,Sovits4.0,False,False,False,0
wild_0043,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Yh4y1x71k/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Mandarin,Eason_Chan,【AI陈奕迅】《开始懂了》 cover.孙燕姿 相信你只是怕伤害我不是骗我很爱过谁会舍得,deepfake,,Sovits4.0,True,True,True,3
wild_0044,fake,Eason_Chan,Sovits4.0,https://www.bilibili.com/video/BV1Zh4y1J7kW/?spm_id_from=333.788&vd_source=bda8c28f9763524b2b9bd9962b1b4120,T02,Japanese,Eason_Chan,【AI陈奕迅】《Lemon》cover.米津玄师 时至今日 你仍是我的光芒,deepfake,,Sovits4.0,False,False,False,0
